DATE,CLVMNACSCAB1GQSE
1993-01-01,554409.7
1993-04-01,559453.4
1993-07-01,563419.5
1993-10-01,565492.6
1994-01-01,571981.3
1994-04-01,578997.1
1994-07-01,584034.2
1994-10-01,594150.6
1995-01-01,602056.7
1995-04-01,606149.2
1995-07-01,607997.9
1995-10-01,613936.9
1996-01-01,618533.3
1996-04-01,613379.9
1996-07-01,617456.4
1996-10-01,622501.6
1997-01-01,626201.9
1997-04-01,635807.1
1997-07-01,640222.7
1997-10-01,650497.4
1998-01-01,654215.9
1998-04-01,661334.8
1998-07-01,667847.5
1998-10-01,675611.2
1999-01-01,681698.3
1999-04-01,685025.5
1999-07-01,694043.2
1999-10-01,703458.9
2000-01-01,706384.5
2000-04-01,725203.5
2000-07-01,732490.2
2000-10-01,733225.8
2001-01-01,734569.1
2001-04-01,730478.1
2001-07-01,736443.3
2001-10-01,740403.5
2002-01-01,746403.5
2002-04-01,754202.9
2002-07-01,753247.3
2002-10-01,754216.7
2003-01-01,762363.8
2003-04-01,762161.2
2003-07-01,768512.7
2003-10-01,774757.4
2004-01-01,785753.1
2004-04-01,792066.8
2004-07-01,798321.6
2004-10-01,803053.8
2005-01-01,805686.0
2005-04-01,812295.9
2005-07-01,823454.3
2005-10-01,826507.7
2006-01-01,840842.2
2006-04-01,853778.1
2006-07-01,862064.0
2006-10-01,871761.4
2007-01-01,875743.5
2007-04-01,884600.1
2007-07-01,888017.9
2007-10-01,895977.7
2008-01-01,890716.2
2008-04-01,887935.9
2008-07-01,880912.1
2008-10-01,846905.3
2009-01-01,838863.5
2009-04-01,840343.3
2009-07-01,838796.7
2009-10-01,842197.1
2010-01-01,855661.0
2010-04-01,884489.0
2010-07-01,896695.2
2010-10-01,906086.9
2011-01-01,911262.7
2011-04-01,917603.3
2011-07-01,921613.7
2011-10-01,906423.8
2012-01-01,910823.4
2012-04-01,913568.9
2012-07-01,917015.1
2012-10-01,912706.3
2013-01-01,916743.5
2013-04-01,918354.8
2013-07-01,925392.4
2013-10-01,934461.0
2014-01-01,937605.2
2014-04-01,942046.2
2014-07-01,949173.8
2014-10-01,956010.3
2015-01-01,967952.2
2015-04-01,984775.1
2015-07-01,988583.6
2015-10-01,998763.2
2016-01-01,999188.0
2016-04-01,1005285.3
2016-07-01,1008833.9
2016-10-01,1010247.7
2017-01-01,1018906.7
2017-04-01,1022312.3
2017-07-01,1029369.5
2017-10-01,1036508.8
2018-01-01,1039390.8
2018-04-01,1046858.3
2018-07-01,1045991.3
2018-10-01,1057379.1
2019-01-01,1064310.0
2019-04-01,1074104.0
2019-07-01,1074236.2
2019-10-01,1084342.4
2020-01-01,1087219.3
2020-04-01,999171.3
2020-07-01,1047520.5
2020-10-01,1068785.8
2021-01-01,1095302.6
2021-04-01,1104870.7
2021-07-01,1109528.8
2021-10-01,1134306.5
2022-01-01,1119874.0
2022-04-01,1132287.1
2022-07-01,1134384.2
2022-10-01,1127457.6
2023-01-01,1129913.4
2023-04-01,1126030.1
2023-07-01,1128896.1
2023-10-01,1126633.5
2024-01-01,1135607.7
2024-04-01,1132684.3
